a;x0(0);x0(1);x(0);x(1);r;y;calls
5; 2,44214;1,08973;4,34097;1,16049;4,49341;-0,217234;159;
5; 2,86227;4,51352;3,96101;2,12158;4,49341;-0,217234;228;
5; 2,67401;1,6706;3,99709;2,0528;4,49341;-0,217234;157;
5; 3,06248;3,93852;4,04683;1,95292;4,49341;-0,217234;147;
5; 3,25625;1,51197;4,10458;1,82843;4,49341;-0,217234;222;
5; 3,69554;1,99615;3,67817;2,58104;4,49341;-0,217234;226;
5; 3,03898;4,53837;3,58902;2,70364;4,49341;-0,217234;247;
5; 4,36533;2,02044;3,90089;2,2302;4,49341;-0,217234;162;
5; 2,73766;2,97353;3,16535;3,18924;4,49341;-0,217234;163;
5; 2,85417;1,10958;4,1388;1,74959;4,49341;-0,217234;265;
5; 4,84319;4,87118;3,17286;3,18178;4,49341;-0,217234;262;
5; 2,18849;3,39514;1,90643;4,06894;4,49341;-0,217234;144;
5; 1,33302;3,1036;2,01509;4,01623;4,49341;-0,217234;152;
5; 3,65357;1,24745;4,36201;1,07869;4,49341;-0,217234;160;
5; 1,12361;2,5282;1,90467;4,06976;4,49341;-0,217234;166;
5; 2,15283;1,48811;4,01318;2,02117;4,49341;-0,217234;164;
5; 2,39762;3,01295;2,5785;3,67996;4,49341;-0,217234;148;
5; 1,05779;2,25128;1,52613;4,22631;4,49341;-0,217234;160;
5; 3,51094;2,36331;3,47761;2,84552;4,49341;-0,217234;158;
5; 2,00549;2,23545;2,2931;3,86425;4,49341;-0,217234;248;
5; 4,64802;2,99894;2,86534;3,46129;4,49341;-0,217234;162;
5; 4,62367;1,47041;4,15203;1,71795;4,49341;-0,217234;228;
5; 1,00434;4,31699;1,42034;4,26302;4,49341;-0,217234;150;
5; 1,25063;1,46374;2,43447;3,77678;4,49341;-0,217234;165;
5; 2,14309;3,2907;2,50012;3,73365;4,49341;-0,217234;158;
5; 4,48343;3,88572;1,82903;4,10431;4,49341;-0,217234;159;
5; 2,41551;3,33757;2,81107;3,50551;4,49341;-0,217234;146;
5; 1,56988;2,69927;2,13249;3,95515;4,49341;-0,217234;154;
5; 2,41636;4,59652;2,67016;3,614;4,49341;-0,217234;150;
5; 1,25371;1,10543;3,86963;2,28401;4,49341;-0,217234;234;
5; 2,80897;3,99119;3,51412;2,80031;4,49341;-0,217234;157;
5; 2,22499;4,53912;2,46845;3,75466;4,49341;-0,217234;166;
5; 2,75796;1,03588;4,30243;1,29608;4,49341;-0,217234;168;
5; 1,93266;4,37106;2,32833;3,84313;4,49341;-0,217234;160;
5; 2,4502;4,04491;3,12399;3,22977;4,49341;-0,217234;160;
5; 1,83474;3,93908;1,70663;4,1567;4,49341;-0,217234;152;
5; 1,71404;1,08091;4,21231;1,56435;4,49341;-0,217234;241;
5; 2,57368;4,07958;3,32788;3,01926;4,49341;-0,217234;164;
5; 1,055;4,55429;1,24214;4,31831;4,49341;-0,217234;232;
5; 3,11133;2,20613;3,68701;2,5684;4,49341;-0,217234;157;
5; 4,15846;2,55326;3,15121;3,20322;4,49341;-0,217234;162;
5; 4,28948;4,86194;3,06232;3,2883;4,49341;-0,217234;178;
5; 1,29667;3,9558;1,72219;4,15028;4,49341;-0,217234;162;
5; 2,2474;4,96011;2,99674;3,34818;4,49341;-0,217234;153;
5; 1,9261;2,92333;2,58297;3,67682;4,49341;-0,217234;237;
5; 1,8711;1,71126;4,2046;1,58495;4,49341;-0,217234;174;
5; 2,40367;2,17042;3,3971;2,94116;4,49341;-0,217234;168;
5; 3,02814;4,89384;4,34075;1,1613;4,49341;-0,217234;164;
5; 1,88802;1,78206;3,85092;2,31541;4,49341;-0,217234;172;
5; 1,90314;3,28386;2,24643;3,89157;4,49341;-0,217234;222;
5; 1,12513;3,48377;2,04861;3,99924;4,49341;-0,217234;156;
5; 2,62938;3,89032;2,99155;3,35281;4,49341;-0,217234;213;
5; 1,30039;4,42922;1,41176;4,26587;4,49341;-0,217234;149;
5; 1,56255;1,77792;2,03969;4,0038;4,49341;-0,217234;243;
5; 3,64569;2,52782;3,52594;2,7854;4,49341;-0,217234;168;
5; 2,216;1,69598;4,12172;1,78944;4,49341;-0,217234;160;
5; 2,63667;2,76227;3,15627;3,19824;4,49341;-0,217234;155;
5; 2,66002;1,09339;4,30955;1,2722;4,49341;-0,217234;306;
5; 3,91701;1,14423;4,33885;1,16838;4,49341;-0,217234;151;
5; 2,19911;1,28073;4,12393;1,78437;4,49341;-0,217234;163;
5; 3,73787;4,31314;4,26312;1,42006;4,49341;-0,217234;168;
5; 4,80241;2,95941;2,8659;3,46083;4,49341;-0,217234;157;
5; 4,58688;2,5062;3,46898;2,85603;4,49341;-0,217234;154;
5; 4,54531;4,83146;2,867;3,45992;4,49341;-0,217234;234;
5; 3,83622;3,34359;3,4715;2,85297;4,49341;-0,217234;160;
5; 3,5621;3,98372;3,2187;3,13539;4,49341;-0,217234;164;
5; 3,90347;3,14864;2,59283;3,66987;4,49341;-0,217234;141;
5; 3,20634;4,81737;3,63148;2,64634;4,49341;-0,217234;154;
5; 4,74834;1,81774;3,69591;2,55558;4,49341;-0,217234;169;
5; 1,39873;4,95595;2,05627;3,99531;4,49341;-0,217234;154;
5; 2,34823;4,6677;2,65796;3,62298;4,49341;-0,217234;167;
5; 2,66996;4,59354;3,61945;2,66277;4,49341;-0,217234;158;
5; 2,57975;1,46409;3,88645;2,25528;4,49341;-0,217234;234;
5; 3,95728;1,91629;3,92749;2,18301;4,49341;-0,217234;148;
5; 3,47977;1,90559;3,93813;2,16376;4,49341;-0,217234;237;
5; 3,84093;4,88743;3,88696;2,25439;4,49341;-0,217234;169;
5; 4,81458;3,51664;3,12992;3,22402;4,49341;-0,217234;161;
5; 2,56621;1,38229;4,13227;1,76496;4,49341;-0,217234;390;
5; 1,83307;1,08665;4,04813;1,95023;4,49341;-0,217234;239;
5; 1,90426;3,46363;2,21263;3,91088;4,49341;-0,217234;137;
5; 1,0807;2,99641;1,39497;4,27139;4,49341;-0,217234;156;
5; 3,42825;4,11651;3,34274;3,00281;4,49341;-0,217234;170;
5; 2,98732;1,78499;3,75554;2,46711;4,49341;-0,217234;154;
